deviceID,time,lat,long,pm1,pm25,pm10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,sfr,temp_ext,hum_ext,join_accessible,join_avgtravtim,join_b5_sc,join_b7_sc,join_bike_lane,join_borough_in,join_boroughcod,join_bphys_id,join_collection,join_continuous,join_created_by,join_date_creat,join_time_creat,join_fcc,join_fire_lane,join_from_level,join_joinid,join_l_blockfac,join_l_high_hn,join_l_low_hn,join_l_zip,join_lsubsect,join_modified_b,join_date_modif,join_time_modif,join_nominaldir,join_nonped,join_physicalid,join_posted_spe,join_r_blockfac,join_r_high_hn,join_r_low_hn,join_r_zip,join_rsubsect,join_rw_type,join_rwjurisdic,join_sandist_in,join_seglocstat,join_segmentlen,join_shape_leng,join_snow_prior,join_special_di,join_status,join_stname_lab,join_streetwi_1,join_streetwidt,join_to_level_c,join_trafdir,join_truck_rout,join_twisted_pa,join_within_bnd,join_wkt_field,join_org_fid,join_distance,distance
30001c000f47373432363933,1579577329,40.807362,-73.943336,0.87,1.46,1.49,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,16.4,13.5,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569081321
30001c000f47373432363933,1579577395,0.00068,-73.943405,0.66,0.77,0.77,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,16.5,13.5,,0,550425,55042501,1,,5,0,,,DCP,11/29/07,00:00.0,,,13,,1722611574,,,10307,8C,BlockfaceID_LOAD,1/12/16,00:00.0,,,15740,0,1722604183,,,10307,8C,6,,,,252.6940605,252.694059,V,,2,SURF AV,,12,13,NV,,N,,Point (-74,24193,0,34.2452898
30001c000f47373432363933,1579577453,40.807331,-73.943489,0.78,0.82,0.82,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,16.4,13.5,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569057134
30001c000f47373432363933,1579577521,40.807217,-73.943504,1.01,1.14,1.14,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,16.4,13.6,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.568943911
30001c000f47373432363933,1579577585,0.00068,-73.943359,0.94,7.23,12.5,8,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,16.3,13.7,,0,550425,55042501,1,,5,0,,,DCP,11/29/07,00:00.0,,,13,,1722611574,,,10307,8C,BlockfaceID_LOAD,1/12/16,00:00.0,,,15740,0,1722604183,,,10307,8C,6,,,,252.6940605,252.694059,V,,2,SURF AV,,12,13,NV,,N,,Point (-74,24193,0,34.24528941
30001c000f47373432363933,1579577649,40.80724,-73.943451,0.33,0.34,0.34,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,16.1,13.9,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.568964538
30001c000f47373432363933,1579577709,40.807251,-73.943413,0.6,0.62,0.62,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,16.1,13.7,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.568973843
30001c000f47373432363933,1579577775,40.807304,-73.94339,0.45,0.55,0.55,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,16.2,13.7,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569025771
30001c000f47373432363933,1579577841,40.807262,-73.943398,0.86,0.97,0.97,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,16.2,13.9,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.568984167
30001c000f47373432363933,1579577905,40.807316,-73.943512,1.06,1.28,1.29,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,16.2,14.1,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569043169
